City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
258,Faanui,PF,80.35,moderate rain,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
259,Namatanai,PG,84.67,few clouds,-3.67,152.43,Namatanai Hotel
260,Meulaboh,ID,75.69,scattered clouds,4.14,96.13,Kost Pria
263,Sibolga,ID,75.67,overcast clouds,1.74,98.78,Hotel Syariah CN Darussalam
270,Samarai,PG,82.02,overcast clouds,-10.62,150.67,Nuli Sapi
272,San Patricio,US,78.8,scattered clouds,28.02,-97.52,"Motel 6 Sinton, TX"
277,Vung Tau,VN,79.12,light rain,10.35,107.08,Seaside Resort
278,Mahajanga,MG,77.0,few clouds,-15.72,46.32,Restaurant Greedy Coco Lodge Majunga
282,Vao,NC,75.11,overcast clouds,-22.67,167.48,Hotel Kou-Bugny
284,Merauke,ID,80.6,moderate rain,-8.47,140.33,
286,Marica,BR,78.8,few clouds,-22.92,-42.82,Marica Hills
290,Mareeba,AU,82.99,light rain,-17.0,145.43,Trinity Plains Tourist Park
291,Mina,MX,84.2,broken clouds,26.0,-100.53,Mina ctl
292,Souillac,MU,75.2,shower rain,-20.52,57.52,Bils' Villa
297,Conde,BR,77.0,few clouds,-7.26,-34.91,Pousada Beija Flor
298,Bengkulu,ID,75.51,moderate rain,-3.8,102.27,Grage Hotel Bengkulu
299,Ponnani,IN,78.8,mist,10.77,75.93,Rouba Residency
302,Pitimbu,BR,77.0,few clouds,-7.47,-34.81,Reserva do Abiaí
303,Tabou,CI,77.36,light rain,4.42,-7.35,hotêl doufoulougou
304,Thinadhoo,MV,81.93,scattered clouds,0.53,72.93,
305,Port Keats,AU,89.04,clear sky,-14.25,129.55,TDC Village (Hundred Man Camp)
